"CÓD. 
DEP.","DEPARTAMENTO","CÓD. MUN.","MUNICIPIO","GRUPO 
DE CULTIVO","SUBGRUPO 
DE CULTIVO","CULTIVO","DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO","AÑO","PERIODO","Área Sembrada
(ha)","Área Cosechada
(ha)","Producción
(t)","Rendimiento
(t/ha)","ESTADO FISICO PRODUCCION","NOMBRE 
CIENTIFICO","CICLO DE CULTIVO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.008","2008A","500","500","1.750","3,5","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.008","2008B","520","520","2.340","4,5","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.009","2009A","1.071","1.071","3.320","3,1","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.009","2009B","825","825","2.475","3","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.010","2010A","720","700","1.650","2,36","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.010","2010B","726","720","2.100","2,92","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.011","2011B","788","781","1.410","1,81","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.012","2012A","300","300","1.500","5","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.013","2013A","300","300","1.500","5","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.014","2014A","95","95","337","3,55","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.015","2015A","90","90","360","4","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.016","2016A","90","90","360","4","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","SORGO","SORGO","SORGO","2.016","2016B","90","90","360","4","GRANO SECO","SORGHUM VULGARE","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","OTROS PERMANENTES","TABACO","TABACO NEGRO","TABACO NEGRO","2.010","2010","100","100","220","2,2","HOJA SECA","NICOTIANA SPP.","ANUAL"
"73","TOLIMA","73.268","ESPINAL","OTROS PERMANENTES","TABACO","TABACO NEGRO","TABACO NEGRO","2.012","2012","85","85","255","3","HOJA SECA","NICOTIANA SPP.","ANUAL"
"73","TOLIMA","73.268","ESPINAL","OTROS PERMANENTES","TABACO","TABACO NEGRO","TABACO NEGRO","2.013","2013","80","80","240","3","HOJA SECA","NICOTIANA SPP.","ANUAL"
"73","TOLIMA","73.268","ESPINAL","OTROS PERMANENTES","TABACO","TABACO NEGRO","TABACO NEGRO","2.014","2014","104","104","312","3","HOJA SECA","NICOTIANA SPP.","ANUAL"
"73","TOLIMA","73.268","ESPINAL","OTROS PERMANENTES","TABACO","TABACO NEGRO","TABACO NEGRO","2.015","2015","40","40","100","2,5","HOJA SECA","NICOTIANA SPP.","ANUAL"
"73","TOLIMA","73.268","ESPINAL","OTROS TRANSITORIOS","TABACO","TABACO RUBIO","TABACO RUBIO","2.007","2007A","100","100","150","1,5","HOJA SECA","NICOTIANA SPP.","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","OTROS TRANSITORIOS","TABACO","TABACO RUBIO","TABACO RUBIO","2.008","2008A","110","110","165","1,5","HOJA SECA","NICOTIANA SPP.","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","OTROS TRANSITORIOS","TABACO","TABACO RUBIO","TABACO RUBIO","2.009","2009A","10","10","10","1","HOJA SECA","NICOTIANA SPP.","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","OTROS TRANSITORIOS","TABACO","TABACO RUBIO","TABACO RUBIO","2.011","2011A","100","100","220","2,2","HOJA SECA","NICOTIANA SPP.","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","OTROS TRANSITORIOS","TABACO","TABACO RUBIO","TABACO RUBIO","2.013","2013A","25","20","30","1,5","HOJA SECA","NICOTIANA SPP.","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","HORTALIZAS","TOMATE","TOMATE","TOMATE","2.006","2006B","50","50","400","8","HORTALIZA FRESCA","LYCOPERSICUM ESCULETUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","HORTALIZAS","TOMATE","TOMATE","TOMATE","2.007","2007A","2","2","8","4","HORTALIZA FRESCA","LYCOPERSICUM ESCULETUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","HORTALIZAS","TOMATE","TOMATE","TOMATE","2.008","2008A","1","1","3","2,5","HORTALIZA FRESCA","LYCOPERSICUM ESCULETUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","HORTALIZAS","TOMATE","TOMATE","TOMATE","2.008","2008B","2","2","4","2,5","HORTALIZA FRESCA","LYCOPERSICUM ESCULETUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.008","2008","10","10","200","20","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.009","2009","34","34","670","20","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.010","2010","45","45","1.350","30","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.011","2011","60","60","1.800","30","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.012","2012","45","45","1.350","30","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.013","2013","60","60","900","15","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.014","2014","60","60","1.200","20","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.015","2015","50","50","750","15","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.016","2016","50","50","750","15","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.017","2017","120","120","2.400","20","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
"73","TOLIMA","73.268","ESPINAL","TUBERCULOS Y PLATANOS","YUCA","YUCA","YUCA","2.018","2018","120","120","2.400","20","TUBERCULO FRESCO","MANIHOT ESCULENTA","ANUAL"
